learning_rate,finetune_learning_rate,dropout_rate1,dropout_rate2,width_shift,height_shift,shear,zoom,finetune_width_shift,finetune_height_shift,finetune_shear,finetune_zoom,num_conv_layers,num_dense_layers,num_maxpools,neurons_first_conv,neurons_remaining_conv,neurons_dense,rotation,finetune_rotation,horizontal_flip,finetune_horizontal_flip,epochs,finetune_epochs,num_fixed_layers,reinitialize_weights
0.004676415094339623,0.005050000000000001,0.5037735849056603,0.19150943396226414,0.5943396226415094,0.14150943396226415,0.4952830188679245,0.2433962264150943,0.3283018867924528,0.3735849056603774,0.680188679245283,0.07924528301886792,4.0,2.0,2.0,4.0,7.0,10.0,329.0,85.0,0.0,1.0,7.0,1803.0,7.0,0.0
0.0016254716981132075,0.00019339622641509433,0.14150943396226415,0.07264150943396226,0.43584905660377354,0.5830188679245283,0.11226415094339622,0.20943396226415092,0.30566037735849055,0.09433962264150944,0.5349056603773584,0.13962264150943396,4.0,2.0,0.0,4.0,5.0,7.0,24.0,275.0,1.0,1.0,3.0,118.0,10.0,0.0
0.00023867924528301888,0.006917924528301887,0.07358490566037736,0.0330188679245283,0.390566037735849,0.22075471698113205,0.310377358490566,0.5037735849056603,0.04905660377358491,0.33584905660377357,0.32358490566037734,0.2830188679245283,4.0,2.0,1.0,5.0,6.0,5.0,207.0,323.0,0.0,1.0,5.0,584.0,6.0,0.0
0.001902830188679245,0.005610377358490567,0.27735849056603773,0.4952830188679245,0.4924528301886792,0.40188679245283015,0.15188679245283018,0.062264150943396226,0.1320754716981132,0.2679245283018868,0.270754716981132,0.3584905660377358,5.0,2.0,1.0,3.0,6.0,6.0,302.0,268.0,1.0,0.0,7.0,441.0,7.0,0.0
0.0036594339622641504,0.0046764150943396235,0.32264150943396225,0.13867924528301884,0.28867924528301886,0.18679245283018867,0.46886792452830184,0.35660377358490564,0.0037735849056603774,0.1169811320754717,0.04622641509433962,0.24528301886792453,3.0,2.0,2.0,6.0,6.0,6.0,139.0,146.0,1.0,1.0,9.0,907.0,3.0,1.0
0.003104716981132075,0.0035556603773584904,0.36792452830188677,0.5877358490566037,0.27735849056603773,0.3452830188679245,0.20471698113207545,0.4471698113207547,0.026415094339622643,0.2,0.01981132075471698,0.15471698113207547,4.0,0.0,0.0,4.0,5.0,7.0,241.0,309.0,0.0,1.0,3.0,1050.0,2.0,1.0
0.0005160377358490566,0.0009405660377358492,0.5150943396226414,0.6405660377358491,0.11886792452830187,0.11886792452830187,0.270754716981132,0.4584905660377358,0.26037735849056604,0.3132075471698113,0.13867924528301884,0.1849056603773585,4.0,3.0,0.0,5.0,4.0,8.0,65.0,200.0,0.0,0.0,5.0,1408.0,11.0,1.0
0.004306603773584905,0.009719811320754718,0.005660377358490566,0.6669811320754717,0.35660377358490564,0.07358490566037736,0.5481132075471697,0.5490566037735849,0.011320754716981133,0.1849056603773585,0.4424528301886792,0.36603773584905663,2.0,0.0,2.0,3.0,4.0,8.0,85.0,3.0,0.0,1.0,6.0,692.0,7.0,1.0
0.0024575471698113204,0.004863207547169812,0.5943396226415094,0.600943396226415,0.02830188679245283,0.32264150943396225,0.35,0.3792452830188679,0.10943396226415095,0.3433962264150943,0.5877358490566037,0.29056603773584905,4.0,3.0,2.0,5.0,5.0,6.0,146.0,92.0,1.0,0.0,6.0,1265.0,12.0,1.0
0.002272641509433962,0.007104716981132076,0.4584905660377358,0.310377358490566,0.5490566037735849,0.46981132075471693,0.32358490566037734,0.5377358490566037,0.29056603773584905,0.27547169811320754,0.28396226415094333,0.17735849056603775,4.0,1.0,2.0,3.0,6.0,8.0,234.0,51.0,1.0,1.0,4.0,1982.0,8.0,1.0
0.0029198113207547166,0.008412264150943396,0.11886792452830187,0.270754716981132,0.5037735849056603,0.3792452830188679,0.38962264150943393,0.27735849056603773,0.36603773584905663,0.3886792452830189,0.2311320754716981,0.2,2.0,0.0,1.0,5.0,5.0,8.0,336.0,329.0,1.0,1.0,7.0,190.0,13.0,1.0
0.004029245283018868,0.009159433962264152,0.5264150943396225,0.46886792452830184,0.14150943396226415,0.2660377358490566,0.33679245283018866,0.48113207547169806,0.19245283018867926,0.24528301886792453,0.08584905660377358,0.1169811320754717,3.0,0.0,1.0,5.0,6.0,10.0,200.0,282.0,1.0,0.0,5.0,225.0,11.0,1.0
0.0008858490566037736,0.005797169811320755,0.28867924528301886,0.00660377358490566,0.05094339622641509,0.36792452830188677,0.680188679245283,0.22075471698113205,0.3584905660377358,0.23018867924528302,0.6141509433962263,0.2528301886792453,3.0,1.0,0.0,6.0,4.0,9.0,126.0,302.0,0.0,1.0,7.0,835.0,12.0,0.0
0.001995283018867924,0.003368867924528302,0.20943396226415092,0.2311320754716981,0.016981132075471698,0.4471698113207547,0.40283018867924525,0.05094339622641509,0.3132075471698113,0.026415094339622643,0.38962264150943393,0.026415094339622643,2.0,1.0,0.0,3.0,6.0,7.0,78.0,160.0,1.0,0.0,8.0,1122.0,6.0,1.0
0.0006084905660377359,0.0016877358490566038,0.2660377358490566,0.2443396226415094,0.4132075471698113,0.4245283018867924,0.6537735849056604,0.02830188679245283,0.1849056603773585,0.1471698113207547,0.21792452830188677,0.011320754716981133,4.0,0.0,1.0,3.0,6.0,7.0,316.0,44.0,0.0,1.0,5.0,871.0,10.0,0.0
0.0037518867924528298,0.0043028301886792455,0.10754716981132074,0.48207547169811316,0.08490566037735849,0.5037735849056603,0.41603773584905657,0.3113207547169811,0.2679245283018868,0.011320754716981133,0.41603773584905657,0.033962264150943396,4.0,2.0,1.0,4.0,5.0,9.0,119.0,241.0,0.0,0.0,8.0,1695.0,7.0,0.0
0.0007009433962264152,0.0029952830188679246,0.4132075471698113,0.5216981132075471,0.20943396226415092,0.4584905660377358,0.2575471698113207,0.03962264150943396,0.1471698113207547,0.35094339622641507,0.11226415094339622,0.10943396226415095,3.0,2.0,1.0,3.0,7.0,6.0,187.0,234.0,0.0,0.0,10.0,1086.0,9.0,0.0
0.002642452830188679,0.0044896226415094345,0.1981132075471698,0.5349056603773584,0.07358490566037736,0.08490566037735849,0.12547169811320752,0.40188679245283015,0.16981132075471697,0.15471698113207547,0.5613207547169811,0.23773584905660378,4.0,0.0,1.0,3.0,6.0,6.0,10.0,262.0,1.0,1.0,7.0,369.0,8.0,1.0
