learning_rate,finetune_learning_rate,dropout_rate1,dropout_rate2,width_shift,height_shift,shear,zoom,finetune_width_shift,finetune_height_shift,finetune_shear,finetune_zoom,num_conv_layers,num_dense_layers,num_maxpools,neurons_first_conv,neurons_remaining_conv,neurons_dense,rotation,finetune_rotation,horizontal_flip,finetune_horizontal_flip,epochs,finetune_epochs,num_fixed_layers,reinitialize_weights
0.004676415094339623,0.0016877358490566038,0.17547169811320754,0.3764150943396226,0.4245283018867924,0.3339622641509434,0.19150943396226414,0.48113207547169806,0.35094339622641507,0.3132075471698113,0.13867924528301884,0.15471698113207547,4.0,3.0,1.0,3.0,5.0,9.0,180.0,282.0,0.0,1.0,6.0,978.0,9.0,1.0
0.0032896226415094335,0.0018745283018867926,0.3452830188679245,0.05943396226415094,0.17547169811320754,0.23207547169811318,0.310377358490566,0.02830188679245283,0.15471698113207547,0.35094339622641507,0.48207547169811316,0.16981132075471697,4.0,3.0,2.0,3.0,5.0,9.0,58.0,275.0,1.0,0.0,5.0,190.0,2.0,1.0
0.0016254716981132075,0.005797169811320755,0.22075471698113205,0.310377358490566,0.2660377358490566,0.46981132075471693,0.5481132075471697,0.5037735849056603,0.2,0.30566037735849055,0.20471698113207545,0.3735849056603774,4.0,1.0,2.0,4.0,5.0,8.0,71.0,132.0,1.0,1.0,7.0,727.0,9.0,0.0
0.0007933962264150944,0.006731132075471698,0.27735849056603773,0.04622641509433962,0.016981132075471698,0.48113207547169806,0.41603773584905657,0.32264150943396225,0.27547169811320754,0.3886792452830189,0.5481132075471697,0.17735849056603775,3.0,0.0,1.0,3.0,6.0,6.0,316.0,160.0,0.0,1.0,4.0,405.0,1.0,0.0
0.0015330188679245282,0.009159433962264152,0.18679245283018867,0.32358490566037734,0.3,0.17547169811320754,0.33679245283018866,0.2433962264150943,0.0037735849056603774,0.12452830188679245,0.4952830188679245,0.3132075471698113,5.0,2.0,1.0,6.0,4.0,8.0,17.0,248.0,0.0,1.0,8.0,1839.0,12.0,0.0
0.0013481132075471697,0.00654433962264151,0.03962264150943396,0.17830188679245282,0.28867924528301886,0.5264150943396225,0.600943396226415,0.5377358490566037,0.38113207547169814,0.23018867924528302,0.4292452830188679,0.36603773584905663,2.0,1.0,1.0,3.0,6.0,6.0,214.0,10.0,0.0,1.0,9.0,620.0,10.0,1.0
0.0007009433962264152,0.0015009433962264152,0.3792452830188679,0.33679245283018866,0.5716981132075472,0.5037735849056603,0.6405660377358491,0.11886792452830187,0.04905660377358491,0.1018867924528302,0.40283018867924525,0.23018867924528302,3.0,1.0,1.0,6.0,6.0,7.0,65.0,37.0,1.0,0.0,5.0,907.0,12.0,1.0
0.0020877358490566035,0.009719811320754718,0.5716981132075472,0.20471698113207545,0.4584905660377358,0.2547169811320754,0.6141509433962263,0.20943396226415092,0.36603773584905663,0.27547169811320754,0.38962264150943393,0.10943396226415095,3.0,0.0,0.0,4.0,5.0,10.0,234.0,323.0,1.0,1.0,9.0,1265.0,10.0,0.0
0.0021801886792452824,0.005983962264150944,0.560377358490566,0.2575471698113207,0.15283018867924528,0.07358490566037736,0.5216981132075471,0.016981132075471698,0.026415094339622643,0.041509433962264156,0.5216981132075471,0.2528301886792453,4.0,0.0,1.0,5.0,7.0,8.0,207.0,357.0,0.0,1.0,8.0,1552.0,7.0,0.0
0.001810377358490566,0.003742452830188679,0.13018867924528302,0.46886792452830184,0.2547169811320754,0.35660377358490564,0.4556603773584905,0.22075471698113205,0.13962264150943396,0.026415094339622643,0.08584905660377358,0.1169811320754717,4.0,2.0,1.0,4.0,6.0,6.0,228.0,112.0,0.0,0.0,6.0,1373.0,6.0,1.0
