learning_rate,dropout_rate1,dropout_rate2,width_shift,height_shift,shear,zoom,num_conv_layers,num_dense_layers,num_maxpools,neurons_first_conv,neurons_remaining_conv,neurons_dense,rotation,horizontal_flip,epochs
0.0018638566551521076,0.3696441295363709,0.5200333536138576,0.06846732515796777,0.21405230103365008,0.41449140264887413,0.03218263878772007,2.0,2.0,2.0,3.0,5.0,6.0,5.0,0.0,1923.0
0.0006740910502037551,0.18788667061282727,0.2141078028192751,0.06846732515796777,0.21405230103365008,0.41449140264887413,0.06286354609599525,2.0,2.0,2.0,3.0,4.0,6.0,5.0,0.0,2682.0
0.002620642875635998,0.3696441295363709,0.5200333536138576,0.3566763440882017,0.05351515389935857,0.3098242501652573,0.03218263878772007,3.0,3.0,1.0,3.0,5.0,7.0,3.0,0.0,166.0
0.0027105507231027877,0.21672280512708333,0.5200333536138576,0.11521288488710305,0.46603687892788703,0.16744857176998146,0.10277009990599423,2.0,2.0,2.0,3.0,5.0,6.0,5.0,0.0,1124.0
0.0015247382059658066,0.40606816093159603,0.5200333536138576,0.08398121640158471,0.11032034436459046,0.41449140264887413,0.03218263878772007,2.0,1.0,1.0,3.0,5.0,6.0,5.0,0.0,885.0
0.00019060796090605587,0.3696441295363709,0.6849822480235525,0.10764380825119993,0.210449803648271,0.23405095509655266,0.12678147093757886,2.0,2.0,2.0,3.0,6.0,5.0,40.0,0.0,1808.0
0.001376458822818647,0.3696441295363709,0.5626713349121474,0.10922016143434757,0.12018144125361237,0.4202889486525887,0.03218263878772007,2.0,2.0,2.0,3.0,6.0,6.0,175.0,0.0,2988.0
0.0020671470954376596,0.4268803449170803,0.5200333536138576,0.14565756001521185,0.2382549306308163,0.41449140264887413,0.03218263878772007,3.0,0.0,2.0,4.0,5.0,7.0,5.0,0.0,2065.0
0.0018638566551521076,0.4463426243428665,0.5200333536138576,0.10165183162056472,0.21405230103365008,0.41449140264887413,0.03218263878772007,4.0,0.0,2.0,3.0,5.0,6.0,5.0,0.0,2505.0
0.0018638566551521076,0.5600250071079382,0.6280611111835739,0.18864919980134054,0.464326260266769,0.41373672637719555,0.03218263878772007,2.0,1.0,2.0,3.0,5.0,6.0,5.0,0.0,2008.0
0.0023566894200809057,0.3696441295363709,0.5200333536138576,0.0025650740257216753,0.21405230103365008,0.41449140264887413,0.10698834222454326,2.0,2.0,2.0,3.0,5.0,6.0,1.0,0.0,1419.0
0.0012475242700401249,0.3696441295363709,0.6354991631074534,0.06491107672915032,0.21405230103365008,0.41449140264887413,0.03218263878772007,2.0,3.0,2.0,3.0,4.0,7.0,5.0,0.0,2196.0
0.0018638566551521076,0.3696441295363709,0.667702101810322,0.06846732515796777,0.10834830707592046,0.41449140264887413,0.03218263878772007,2.0,2.0,2.0,5.0,4.0,6.0,5.0,0.0,1039.0
0.0018638566551521076,0.48190185614828474,0.30557638283376154,0.06846732515796777,0.16493266360139672,0.19595235258318972,0.03218263878772007,2.0,2.0,2.0,3.0,4.0,6.0,5.0,0.0,1923.0
0.0018638566551521076,0.3696441295363709,0.6500319171263562,0.06846732515796777,0.24021696857748415,0.5741511198985043,0.03218263878772007,2.0,2.0,2.0,3.0,5.0,6.0,5.0,0.0,304.0
